Old_Crime_ID	Crime_ID	Country	Link	Event_year	Event_date	Seizure_co	Seizure_ci	X	Y	N. of fire	Firearm_Ty	Ammunition	Storage	Shooting/h	N. of acto	Actors_nat	Actors_age	Actors_gen	Additional	Source	NUTS_ID
RO0045	RO057	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/grupare-specializata-in-producerea-ilegala-de-tigarete-destructurata	2013.0	2013-06-20T00:00:00Z	Romania	Satu Mare	22.87634	47.78784	1.0	Shotgun	N/A	N/A	N/A	2.0	N/A;N/A	N/A;N/A	N/A;N/A		Press release LEA	RO11
RO0046	RO058	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/arme-si-munitii-detinute-ilegal-de-un-vanator-descoperite-de-politisti	2013.0	2013-07-11T00:00:00Z	Romania	Satu Mare	22.87196	47.798418	2.0	N/A;N/A	Yes	House	N/A	1.0	Romanian	46.0	M		Press release LEA	RO11
RO0047	RO059	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/arme-si-munitii-detinute-ilegal-descoperite-de-politisti-15472	2013.0	2013-07-12T00:00:00Z	Romania	Siret	28.02218	45.44344	2.0	N/A;N/A	Yes	House	N/A	2.0	N/A;N/A	29;57	M;M		Press release LEA	RO22
RO0048	RO060	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/arme-si-munitii-detinute-ilegal-ridicate-de-politisti-15616	2013.0	2013-08-06T00:00:00Z	Romania	Galați	27.95864	45.27984	1.0	Pistol	Yes	House	N/A	1.0	N/A	21.0	M		Press release LEA	RO22
RO0049	RO061	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/cartuse-cu-alice-si-tuburi-confectionate-artizanal-confiscate-de-politisti	2013.0	2013-09-19T00:00:00Z	Romania	Brăila	27.95692	45.263707	1.0	N/A	Yes	House	N/A	1.0	N/A	38.0	M	Hunting weapon	Press release LEA	RO22
RO0050	RO062	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/arme-recuperate-de-politisti	2013.0	2013-11-05T00:00:00Z	Romania	Sighetu Marmației	21.22515	45.74805	2.0	N/A;N/A	Yes	House	N/A	2.0	N/A;N/A	22;23	M;M	The two man stole two hunting guns. Police recover weapons.	Press release LEA	RO42
RO0051	RO063	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/perchezitii-la-suspecti-de-confectionare-ilegala-de-arme	2013.0	2013-11-19T00:00:00Z	Romania	Timișoara	21.206483	45.742681	5.0	N/A;N/A;N/A;N/A;N/A	N/A	House	N/A	N/A	N/A	N/A	N/A		Press release LEA	RO42
RO0004	RO064	Romania	http://www.ziare-pe-net.ro/stiri/igpr-barbat-care-detinea-ilegal-arme-si-munitie-retinut-de-politisti-3197770.html	2014.0	2014-01-18T00:00:00Z	Romania	Arad	21.303073	46.194223	2.0	Rifle;Rifle	Yes	House	N/A	1.0	N/A	31.0	M	Two semi-automatic hunting rifles;Caliber:12;Ammunitions:53 cartridges hunting shot	Press review	RO42
RO0053	RO065	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/arme-si-munitie-detinute-ilegal-depistate-de-politisti-in-urma-unor-perchezitii-domiciliare	2014.0	2014-01-18T00:00:00Z	Romania	Arad	21.31684	46.17866	2.0	N/A;N/A	Yes	House	N/A	1.0	N/A	31.0	M	Hunting weapons	Press release LEA	RO42
RO0054	RO066	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/arme-detinute-ilegal-ridicate-de-politisti-16638	2014.0	2014-02-05T00:00:00Z	Romania	Câmpulung	25.5583	47.52961	2.0	N/A;N/A	Yes	House	N/A	N/A	N/A	N/A	N/A	Illigal weapons	Press release LEA	RO21
RO0055	RO067	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/banui-538-i-de-furt-de-arme-cerceta-538-i-de-poli-538-i-536-ti	2014.0	2014-02-28T00:00:00Z	Romania	Pantelimon	26.235203	44.450219	5.0	Pistol;Rifle;Rifle;Rifle;Rifle	Yes	House	N/A	8.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	Trading in weapons.	Press release LEA	RO32
RO0005	RO068	Romania	http://www.gds.ro/Eveniment/2014-04-24/Olt:%20Cinci%20persoane%20retinute%20pentru%20trafic%20de%20persoane%20i%20minori	2014.0	2014-04-23T00:00:00Z	Romania	Olt (Region)	-	-	1.0	Pistol	Yes	House	N/A	N/A	N/A	N/A	N/A	Caliber:6;seraches in houses of five members of a criminal group specializing in human trafficking and trafficking of minors. 	Press review	RO21
